# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
pos,13172.347637,11.990250,0.051980,-136.420448,109.708057,-96.800919,30.748957
pos,13557.558940,9.047700,0.099520,-94.945529,151.503276,-96.369820,31.125717
pos,13904.521868,11.144560,0.300000,-136.186854,114.903181,-96.799164,30.795788
pos,14516.628770,11.806640,0.173610,-120.112799,122.935490,-96.631432,30.868195
pos,14651.127746,11.217780,0.402340,-129.450012,123.835586,-96.729607,30.876308
pos,15237.008247,10.083460,1.037350,-100.746881,101.724202,-96.425949,30.676987
pos,15423.075816,11.455070,0.110199,-105.213190,120.121368,-96.474663,30.842827
pos,15581.794778,10.291350,0.454811,-105.655074,104.244217,-96.477654,30.699703
pos,15710.172532,11.482210,0.339150,-110.571289,128.387482,-96.531822,30.917341
pos,15947.548907,11.644290,0.435140,-86.445082,109.803272,-96.276733,30.749815
pos,16001.429409,10.351400,0.574550,-94.936515,120.477048,-96.366798,30.846033
pos,16067.929079,10.597880,0.612771,-97.000505,100.336395,-96.386551,30.664476
pos,16087.125693,12.060500,0.218940,-87.711843,127.840104,-96.291580,30.912407
pos,16213.645325,11.390080,0.932620,-95.391796,125.128813,-96.372017,30.887966
pos,16367.066167,9.205000,2.927710,-87.488135,103.307939,-96.287117,30.691263
pos,16499.975189,11.496830,0.027530,-87.245733,116.938659,-96.285744,30.814137
pos,16507.903693,12.335180,0.000000,-85.009327,105.495549,-96.261314,30.710983
pos,16514.357864,11.259480,0.851890,-87.724995,117.702704,-96.290840,30.821024
pos,16560.017423,10.366740,0.414200,-63.909772,117.115547,-96.040817,30.815731
pos,16578.148469,11.099030,1.574410,-81.960863,103.255677,-96.229172,30.690792
pos,16647.943500,10.820500,0.000000,-84.415231,96.109499,-96.254311,30.626373
pos,16684.680626,11.633450,0.735210,-79.489805,117.057783,-96.204346,30.815210
pos,16720.978221,11.916850,0.493910,-75.070831,108.837372,-96.157356,30.741108
pos,16875.214516,10.486650,0.666750,-86.553448,108.816848,-96.277786,30.740923
pos,16899.692214,10.782380,1.652570,-73.552980,106.362637,-96.141258,30.718800
pos,17157.470551,10.450570,0.518359,-65.919363,96.132773,-96.060555,30.626583
pos,17247.624435,8.959920,0.752070,-89.804493,74.599236,-96.308891,30.432470
pos,17355.698908,9.362230,1.527569,-93.120719,81.849727,-96.344215,30.497829
pos,17369.928004,10.845380,0.505410,-73.153271,114.577335,-96.137657,30.792850
pos,17413.361242,11.747000,0.960100,-54.732031,125.518347,-95.944939,30.891478
pos,17493.687271,9.022180,1.938471,-78.942833,89.166022,-96.196449,30.563782
pos,17547.368658,10.583170,0.000000,-74.833414,89.888384,-96.153481,30.570293
pos,17599.276742,11.679690,0.005949,-58.343626,123.048902,-95.982735,30.869217
pos,17617.650593,9.893650,0.936720,-71.807688,121.130643,-96.124001,30.851925
pos,17656.302770,11.630310,1.054250,-156.136622,58.952504,-97.000031,30.291424
pos,17684.321125,8.549460,1.316220,-76.589612,81.889082,-96.171272,30.498184
pos,17700.049507,9.499840,1.394450,-71.083347,86.039807,-96.113953,30.535601
pos,17707.729857,11.865450,0.198380,-155.320625,61.131227,-96.991837,30.311064
pos,17725.718501,9.646920,1.318380,-60.886660,108.080310,-96.008545,30.734283
pos,17751.196086,9.917690,0.583699,-74.117593,111.397589,-96.147545,30.764187
pos,17879.757558,10.399620,0.226320,-66.781270,95.024263,-96.069511,30.616590
pos,17940.691994,10.125320,0.143229,-84.843072,132.446801,-96.261826,30.953934
pos,17969.665749,10.533810,0.122870,-60.611444,112.350793,-96.005913,30.772779
pos,18062.525857,9.375840,0.885830,-80.612739,100.383156,-96.214813,30.664898
pos,18063.031245,11.334640,0.086601,-48.341064,118.238868,-95.877457,30.825857
pos,18102.693980,10.293000,1.337210,-50.183636,118.357992,-95.896805,30.826931
pos,18113.914643,9.633770,0.841591,-69.227290,92.737418,-96.094978,30.595976
pos,18346.114059,10.600260,0.478090,-76.080308,71.353685,-96.165169,30.403214
pos,18389.786112,11.190320,0.805600,-153.920305,83.035255,-96.980469,30.508516
pos,18411.369635,9.121980,1.513579,-63.475497,81.625867,-96.034058,30.495811
pos,18510.411889,8.775070,1.175460,-43.876341,107.467127,-95.830124,30.728756
pos,18526.720528,12.257020,0.000000,-43.102534,138.759956,-95.823341,31.010843
pos,18597.406872,9.677760,0.816460,-63.628098,91.098880,-96.036240,30.581205
pos,18598.093251,9.059980,0.000000,-70.776079,125.037195,-96.113441,30.887140
pos,18609.788386,10.022240,1.059830,-66.351925,77.442134,-96.063881,30.458097
pos,18655.413640,12.276700,0.000000,-155.164306,53.384138,-96.989052,30.241228
pos,18670.005461,9.426020,1.083721,-54.482837,85.953056,-95.940208,30.534819
pos,18686.038864,9.736320,0.650199,-68.280446,95.222309,-96.085228,30.618376
pos,18725.558776,10.127190,1.271640,-50.093717,101.406819,-95.895027,30.674126
pos,18752.264917,8.075950,1.749310,-36.085088,92.176075,-95.747879,30.590916
pos,18773.858734,10.457960,1.275930,-65.462125,73.541295,-96.054329,30.422934
pos,18880.214168,9.890190,0.345020,-51.252797,102.123680,-95.907211,30.680588
pos,18927.872991,9.801190,1.431390,-65.061409,79.490096,-96.050514,30.476559
pos,18929.471047,8.525280,0.493950,-43.726178,95.945306,-95.828056,30.624893
pos,18945.192001,10.107540,0.223890,-40.162449,140.124488,-95.792473,31.023144
pos,18998.361124,9.649170,0.867030,-66.325189,79.776586,-96.063751,30.479141
pos,19006.490060,9.414000,0.336030,-61.231725,100.787078,-96.011726,30.668539
pos,19007.620780,9.433620,2.042860,-64.760166,82.163724,-96.047531,30.500660
pos,19030.616885,9.470250,0.956360,-37.496155,96.602499,-95.762817,30.630817
pos,19053.278649,9.444320,1.326680,-47.149940,94.616956,-95.863861,30.612919
pos,19057.466253,8.571100,0.000000,-37.863060,106.734821,-95.767036,30.722155
pos,19081.500617,10.383580,0.371120,-68.627899,80.121052,-96.087860,30.482246
pos,19088.483669,9.803610,1.014060,-56.292999,82.442174,-95.958961,30.503170
pos,19114.403627,10.270130,1.618080,-65.361068,80.716884,-96.053726,30.487617
pos,19137.650083,7.451860,0.698290,-37.864870,97.160668,-95.766701,30.635849
pos,19296.520037,9.146220,0.345641,-41.727657,106.242243,-95.807541,30.717714
pos,19348.262982,9.791080,0.344070,-29.967322,124.628407,-95.684769,30.883455
pos,19431.629804,9.632550,1.289040,-42.544375,84.460725,-95.815201,30.521366
pos,19431.975086,9.877410,0.000000,-40.999482,80.230654,-95.798866,30.483234
pos,19449.553249,9.390230,1.095539,-39.878414,104.787575,-95.788094,30.704601
pos,19464.345809,10.186890,0.000000,-43.560526,122.256927,-95.827446,30.862078
pos,19490.946988,8.775550,1.162601,-49.589372,80.679644,-95.888741,30.487282
pos,19515.524701,10.164910,0.908939,-58.829405,83.477898,-95.985558,30.512506
pos,19526.542984,10.906220,1.065641,-42.115528,84.685008,-95.810722,30.523388
pos,19607.776829,8.819930,3.387490,-52.641620,82.330244,-95.920753,30.502161
pos,19613.624379,10.268830,0.437040,-57.650692,79.185409,-95.972984,30.473812
pos,19668.317744,10.788420,1.076580,-40.480022,87.263421,-95.793709,30.546631
pos,19682.970273,9.441930,0.437570,-41.677853,89.643153,-95.806343,30.568083
pos,19694.655772,8.130890,2.144180,-59.281985,82.191230,-95.990219,30.500908
pos,19713.674733,9.584730,1.394210,-58.227031,83.901074,-95.979279,30.516321
