# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
pos,675.271522,9.810520,1.302830,-2981.860948,6839.186283,-95.122955,29.951433
pos,1536.955550,9.138160,1.081060,-2973.365567,6848.356301,-95.060341,30.034096
pos,1637.024617,8.830210,0.691670,-2899.848322,6900.065483,-94.438538,30.500225
pos,2255.218008,10.546980,0.594090,-2968.807730,6858.600976,-95.041756,30.126446
pos,2275.586001,9.382100,0.882091,-3011.862907,6880.806941,-95.554451,30.326620
pos,2306.093528,9.289590,0.814010,-3011.541410,6882.103553,-95.554848,30.338308
pos,2407.556532,9.276010,1.762620,-2964.639023,6860.365622,-95.003288,30.142353
pos,2475.575516,9.572600,1.291440,-2963.822146,6860.857776,-94.996162,30.146790
pos,2483.995868,10.482220,0.605450,-2963.179517,6865.232572,-95.001823,30.186226
pos,2551.223534,10.022100,2.091830,-2961.910192,6863.858519,-94.984703,30.173840
pos,2577.774875,10.185800,1.068360,-2961.538331,6865.136300,-94.984436,30.185358
pos,2625.636284,10.450670,0.663771,-3002.869287,6889.533683,-95.485764,30.405287
pos,2627.943078,10.498660,1.248290,-2958.914207,6866.281203,-94.960304,30.195679
pos,2647.911454,9.826520,0.658900,-2963.816900,6863.556371,-95.003731,30.171116
pos,2906.115479,9.739490,1.512890,-2953.091619,6872.667145,-94.917610,30.253244
pos,2911.882338,8.353240,1.636770,-2888.407134,6913.918794,-94.357758,30.625105
pos,3169.435513,10.003340,0.963400,-2946.361683,6878.196366,-94.862999,30.303087
pos,3285.058059,8.833710,1.198390,-3145.370912,6954.459083,-97.175163,30.990553
pos,3383.527191,9.588120,0.600310,-3138.872300,6951.041723,-97.096176,30.959747
pos,3394.845848,8.265770,1.500250,-2990.686070,6901.683286,-95.393585,30.514809
pos,4271.946685,9.597120,0.855870,-3118.525172,6965.552438,-96.927330,31.090553
pos,4495.548888,9.072340,1.926040,-3184.226528,6898.166902,-97.407875,30.483110
pos,4698.111013,9.529300,3.757400,-3147.271164,6931.955414,-97.125122,30.787695
pos,4722.558715,8.814020,0.693700,-2944.915199,6893.118832,-94.890228,30.437605
pos,4729.766613,9.760210,0.960790,-2978.145730,6918.364472,-95.310753,30.665180
